order_id,Periode,Kategori_Utama,Provinsi,Kota/Kabupaten,Metode Pembayaran,Opsi Pengiriman,Total Pembayaran,Estimasi Potongan Biaya Pengiriman,Estimasi_Biaya_Komisi_Rp,Estimasi_Biaya_Proses_Pesanan_Rp
ORD_0000928,2025-04,Aksesoris Pintu,JAWA BARAT,KAB. BOGOR,SeaBank Bayar Instan,Hemat Kargo-SPX Hemat,20500,0,2050,1255
ORD_0000929,2025-04,Aksesoris Pintu,DKI JAKARTA,KOTA JAKARTA TIMUR,Saldo ShopeePay,Hemat Kargo-SPX Hemat,13000,8000,1300,1255
ORD_0000930,2025-04,Celengan,DKI JAKARTA,KOTA JAKARTA SELATAN,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,26896,0,2690,1255
ORD_0000931,2025-04,Celengan,JAWA BARAT,KAB. MAJALENGKA,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,19616,15000,1962,1255
ORD_0000932,2025-04,Celengan,LAMPUNG,KOTA BANDAR LAMPUNG,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,23880,15000,2388,1255
ORD_0000933,2025-04,Botol / Gelas / Mug,LAMPUNG,KAB. LAMPUNG TENGAH,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,52168,0,5217,1255
ORD_0000934,2025-04,Mangkok Sambal / Saus,JAWA BARAT,KOTA BANDUNG,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,17120,10000,1712,1255
ORD_0000935,2025-04,Celengan,BANTEN,KAB. SERANG,COD (Bayar di Tempat),Reguler (Cashless)-SPX Standard,36152,16000,3615,1255
ORD_0000936,2025-04,Mangkok Sambal / Saus,JAWA BARAT,KAB. BOGOR,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,17120,8000,1712,1255
ORD_0000937,2025-04,Aksesoris Pintu,LAMPUNG,KAB. PRINGSEWU,Online Payment,SPX Hemat,10500,12600,1050,1255
ORD_0000939,2025-04,Baskom / Mangkok Besar,JAWA BARAT,KOTA DEPOK,Saldo ShopeePay,JNE Reguler,13666,10000,1367,1255
ORD_0000940,2025-04,Aksesoris Pintu,BANTEN,KOTA TANGERANG,Saldo ShopeePay,Same Day-SPX Sameday,37400,0,3740,1255
ORD_0000941,2025-04,Pengolah Bumbu / Sayur,LAMPUNG,KOTA BANDAR LAMPUNG,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,25000,16000,2500,1255
ORD_0000944,2025-04,Other,JAWA TIMUR,KOTA KEDIRI,COD (Bayar di Tempat),Reguler (Cashless)-SPX Standard,23880,17000,2388,1255
ORD_0000946,2025-04,Celengan,JAWA BARAT,KAB. BOGOR,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,18680,8000,1868,1255
ORD_0000947,2025-04,Lunch Box / Rantang,JAWA BARAT,KOTA BEKASI,COD (Bayar di Tempat),Reguler (Cashless)-SPX Standard,11920,9500,1192,1255
ORD_0000948,2025-04,Toples / Sealware,JAWA BARAT,KAB. BANDUNG,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,14468,10500,1447,1255
ORD_0000950,2025-04,Keranjang,DKI JAKARTA,KOTA JAKARTA SELATAN,Saldo ShopeePay,Hemat Kargo-SPX Hemat,13900,8000,1390,1255
ORD_0000951,2025-04,Seal / Baut / Roof,JAWA BARAT,KAB. BANDUNG,Saldo ShopeePay,Hemat Kargo-SPX Hemat,361900,36000,36190,1255
ORD_0000952,2025-04,Celengan,DKI JAKARTA,KOTA JAKARTA BARAT,Saldo ShopeePay,Same Day-SPX Sameday,18641,17500,1864,1255
ORD_0000953,2025-04,Aksesoris Pintu,BANTEN,KOTA TANGERANG,Saldo ShopeePay,Reguler (Cashless)-SPX Standard,14302,9500,1430,1255
ORD_0000954,2025-04,Mangkok Sambal / Saus,DI YOGYAKARTA,KAB. SLEMAN,COD (Bayar di Tempat),Reguler (Cashless)-SPX Standard,17120,17000,1712,1255
ORD_0000955,2025-04,Celengan,JAWA BARAT,KAB. CIANJUR,SPayLater,Hemat Kargo-SPX Hemat,18069,14500,1807,1255
ORD_0000956,2025-04,Celengan,JAWA BARAT,KAB. BOGOR,Saldo ShopeePay,Hemat Kargo-SPX Hemat,35700,8000,3570,1255
ORD_0000957,2025-04,Aksesoris Pintu,JAWA BARAT,KAB. PURWAKARTA,COD (Bayar di Tempat),Reguler (Cashless)-SPX Standard,11400,17000,1140,1255
ORD_0000959,2025-04,Mangkok Sambal / Saus,DKI JAKARTA,KOTA JAKARTA SELATAN,Online Payment,Same Day-SPX Sameday,102000,31500,10200,1255
ORD_0000960,2025-04,Celengan,BANTEN,KAB. TANGERANG,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,18040,8000,1804,1255
ORD_0000961,2025-04,Keranjang,SUMATERA BARAT,KOTA PADANG,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,22840,5000,2284,1255
ORD_0000963,2025-04,Mangkok Sambal / Saus,JAWA BARAT,KOTA DEPOK,Saldo ShopeePay,Hemat Kargo-SPX Hemat,31900,8000,3190,1255
ORD_0000964,2025-04,Celengan,JAMBI,KOTA JAMBI,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,23880,15000,2388,1255
ORD_0000965,2025-04,Mangkok Sambal / Saus,JAWA BARAT,KAB. INDRAMAYU,COD (Bayar di Tempat),Reguler (Cashless)-SPX Standard,15040,17000,1504,1255
ORD_0000967,2025-04,Mangkok Sambal / Saus,BANTEN,KAB. SERANG,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,33240,13000,3324,1255
ORD_0000968,2025-04,Keranjang,BANTEN,KOTA TANGERANG,SeaBank Bayar Instan,Reguler (Cashless)-SPX Standard,36400,10000,3640,1255
ORD_0000970,2025-04,Mangkok Sambal / Saus,JAWA TENGAH,KAB. KARANGANYAR,SPayLater,Reguler (Cashless)-JNE Reguler,79275,17000,7928,1255
ORD_0000971,2025-04,Celengan,JAWA BARAT,KOTA DEPOK,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,18576,8000,1858,1255
ORD_0000972,2025-04,Celengan,SUMATERA BARAT,KOTA PADANG,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,18576,21000,1858,1255
ORD_0000973,2025-04,Lunch Box / Rantang,JAWA BARAT,KAB. BOGOR,COD (Bayar di Tempat),Reguler (Cashless)-SPX Standard,37920,18000,3792,1255
